,SLC6A4,REN,ABCC2,HTR1B,PTGS1,HTR2C,CYP3A7,HTR1A,DRD4,SLC6A3,CYP2C19,ABCB1,ADRA1B,CYP2A6,CHRM1,CHRM3,DRD2,CHRM5,DRD5,SLCO2B1,CYP2C9,HTR2B,HTR6,D2R,UGT1A1,SLC6A2,CYP3A4,ABCG2,CHRM2,HRH2,SLCO1B1,ALB,CYP2C8,OPRM1,HTR2A,HRH1,ADRA1D,OPRK1,PTGS2,ADRA2B,ADRA1A,ORM1,ABCB11,HTR7,CYP3A5,CYP2E1,DRD3,CYP2D6,ABCC1,CYP1A1,ADRA2C,DRD1,CHRM4,ADRA2A,CYP2B6,SLC22A8,CYP1A2
"hypertension, portal",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11581468436475241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
phen_tp_hypertension,-1.207691750970154,-0.27203200030790625,0.19943787581446273,0.0,0.0,-0.3415769615080236,0.0,-0.5568599081173563,0.0,0.0,0.7110258930819869,0.0,0.0,-0.79695719550229,0.0,0.0,-0.8278618362669964,0.0,0.0,0.0,-0.930632109330973,0.0,0.0,0.0,0.0,0.0,0.9193690333332716,0.8200618781847825,0.0,0.0,0.0,-0.15135974117917841,-0.17753151160449754,-0.5387537266166091,0.0,0.0,0.0,-0.3203436187680587,0.0,0.0,-0.12071224516162675,0.0,0.0,0.0,-0.5944379793035705,-0.9346957047926362,0.0,0.1796906187111619,0.096264549022225,-1.1889379401456905,0.0,0.0,0.0,0.0,0.0,-0.5445650234588297,-0.3306457771112558
phen_sig_tp_noFP_Dis_hypertension,-1.046907575442488,-0.3552151001320934,0.42198924586905406,0.0,0.0,-0.2508199272111301,0.0,-0.609718761648799,0.0,0.0,0.7574938366796248,0.0,0.0,-0.7174735583871781,0.0,0.0,-0.5802357907521054,0.0,0.0,0.0,-1.0519935228630302,0.0,0.0,0.0,0.0,0.0,0.7533027119896791,0.9440396626731777,0.0,0.0,0.0,-0.07125177826934567,-0.11748361678420403,-0.6086830810102015,0.0,-0.12134878453218281,0.0,-0.15818483113775195,0.0,0.0,-0.18623361208042577,-0.031624384242512044,0.0,0.0,-0.9150632375580896,-0.7984533156797248,0.0,0.0,0.05771183536257401,-0.30817956499128385,0.0,0.0,0.0,0.0,0.0,-0.6410954996580592,-0.1791985577856904
phen_sig_tp_noFP_Sig_hypertension,0.11370231877336942,0.45470441847779675,0.1093760916478081,0.0,0.0,0.0,-1.0904135621798612,1.1419152440260167,0.0,0.0,0.09935004095587663,-0.25089885747087326,0.6076102191276576,-0.7175323193376778,0.0,0.0,0.41103314739504115,0.0,0.0,-0.49316958672265043,-0.8073666745686056,-0.2864025724438936,-2.6955261989567685,0.0,0.07368669819823863,0.07458215914780163,-0.19859249581317878,-0.13361253693593736,-0.12232536230406103,0.9635006112907236,-0.4912036826946064,0.26142187137505996,0.6849375513904224,0.0,0.0,0.43400211366539526,0.0,1.815191261518026,-0.5212114242263476,0.0,0.0,1.0251214377633315,0.0,1.4424539461149746,0.0,-1.432259264109039,0.0,0.5407618819591252,0.0,-0.32371841429152365,0.0,0.0,0.0,0.0,0.137744740482557,0.0,0.22571395332299557
pancreatitis,0.0,-0.06044258432018064,0.3701970770527828,0.0,0.0,0.0,-0.4205921212466365,2.4876349031484657,0.0,-0.9081147633525338,-0.14688684936511834,0.6550288732317567,0.0,0.0,0.0,0.0,0.35679390084797913,0.0,0.0,-0.42538357992982145,-0.0459134044522809,-0.02722220866569822,-0.4884137793889241,0.0,0.0,0.0,-0.8868845064938237,-0.6509204200302452,0.0,0.0,0.0,0.4958636654097427,0.3644579640539315,2.0575131364825157,0.0,-0.2157776501174093,0.0,0.9460218865401704,1.4533747859707868,-0.8918795939303833,-0.2076585236480715,0.0,0.0,0.7369657453367188,0.0,-1.1884935481582515,0.0,0.0,-0.5124978579807772,-0.47386750386313314,-0.4504311748940523,0.0,0.0,0.0,0.0,0.0,0.0
acute pancreatitis,-0.84079226019451,1.3212024738812236,0.0,0.0,0.13128867289116858,0.0,-1.0856274561778378,1.494319125654321,0.4209048808449812,0.0,0.18780368867292513,0.0,0.0,-0.8605109977792633,0.0,0.0,0.4353086127382127,0.0,0.0,0.0,0.07775810264185785,0.0,0.0,0.0,0.0,0.0,0.0,0.5169999219174533,0.0,0.0,-0.0575801008294419,0.12682020381385062,0.19279492905110712,0.8934550811122093,0.13402088412235072,-0.24558765443651007,0.0,1.786105521159883,0.0,-0.0776649653575609,0.0,0.23830062164186444,0.0,0.35761495084227785,0.11682652170279867,-0.5599395495757452,0.4974224295624031,-0.22102562733380932,0.0,-0.5773446608666314,-0.034251214086282775,0.0,0.0,0.0,0.0,-0.8558500630375646,-0.4247145156397024
pancreatitis idiopathic,-0.07655291837041318,-0.3870137922496347,0.38512903906987883,0.0,-0.5332280611999498,0.0,-0.24642381540382433,2.6194889815083378,0.0,0.0,-0.2714513999584698,0.08291800722318392,0.0,0.0,0.0,0.0,1.5255015277287722,0.0,0.0,-0.34197571418663913,0.0,0.0,0.0,0.0,0.0,0.0,-0.10558471492494241,-0.576883668562811,0.0,0.0,-0.10523891043866815,1.0131755049466502,0.0,1.638437726897809,0.0,-0.41793050492227024,0.0,1.9717157162636623,0.0,-0.5365889465797041,-0.18542652235949172,-0.2898691164279626,0.0,1.6067837958754976,0.0,-0.7075842443232538,0.0,-0.05206353422405698,0.0,-0.14977932979920536,-0.927887800250554,0.0,0.0,0.0,0.27795573460794976,0.0,0.4534115045377857
adenocarcinoma of pancreas,0.0,0.0,0.0,0.0,0.3572664845036738,0.0,1.0225562579791523,0.0,-0.060014989798849006,0.0,-0.051733769099378046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5778361426849541,-0.2183124082917527,0.0,0.0,0.0,0.0,0.0,0.0,-0.014240731048980874,0.0,0.0,-0.039720651690266104,-0.057889198898004174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4488580810906324
phen_tp_pancreatitis,-0.46795430037552954,0.0,0.502963444725914,0.0,0.2724638131665782,0.0,0.0,0.0,0.0,0.0,0.0,0.7397397408348421,0.0,0.0,0.0,0.0,-0.4098739273156816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24604250971030273,0.0,0.0,0.0,-0.47918562561064765,-0.16153462962820617,0.0,-0.34700219157918843,-0.26771081571084265,0.0,0.0,0.0,0.0,-0.16053695987057032,-0.16245155698184321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7422562728015711,0.0,0.0,0.0,0.0,-0.6642284117600296,-0.17724778373829858,0.4758631858878217
phen_sig_tp_noFP_Dis_pancreatitis,-0.11814315933334854,0.0,0.214422670970982,0.0,0.8779691794662767,0.0,-0.37579121565706125,0.0,0.0,0.0,0.0,0.9509710420106229,0.0,0.0,0.0,0.0,-0.045505091810677946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12169724188418277,0.0,0.0,0.0,0.0,-0.39490506983051366,-0.4517702597777225,0.0,-0.2706374409134821,-0.4975038196834886,0.0,0.0,0.0,0.0,0.0,-0.05697569907037022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.38339128784790666,0.0,0.0,0.0,0.0,-0.14781085617552117,0.0,0.39037426663640956
