,BCL2,SCN3A,GABRQ,SLC22A6,SCN9A,ABCC2,GABRG2,GABRA6,AKT1,NR1I2,ADRB2,TNF,GABRB2,ADRB1,SCN11A,SCN8A,VDR,CYP2C19,ABCB1,GABRA5,MAPK1,CHRM1,GABRA1,CHRM3,SCN2A,CYP2C9,GABRB1,GABRA2,GABRG3,A,GABRD,GABRP,RELA,MAPK3,GABRA3,CYP3A4,ABCG2,CHRM2,TP53,ALB,CYP2C8,SCN10A,SCN7A,PTGS2,GABRA4,GABRB3,GABRE,AR,ESR1,SCN1A,ABCB11,SCN5A,TSPO,CYP3A5,SLC22A2,CASP3,CYP2D6,SCN4A,GABRG1,CYP2B6,CYP1A2
"hypertension, portal",0.0,0.0,0.0,0.3066236143983444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2675847329106997,0.0,0.0,0.0,2.959932829791448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12711592205356514,0.0,0.0,0.0,0.0,0.0,0.0
phen_tp_hypertension,0.0,0.0,0.0,0.2898027390568943,0.0,0.0,0.0,0.0,0.0,0.0,-0.21767581002608588,0.591712214521836,0.0,0.0,0.0,0.0,0.1763807458799914,0.0,0.7333046112679024,0.0,0.24269466926004601,0.0,0.0,-0.39836587740016927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3659002554790362,0.6206220041259053,0.0,0.0,-0.5575742419509092,0.0,0.9604077126020284,0.31394155071728586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2289551249306704,0.0,0.0,0.03905767358956482,0.0,0.0,0.0,-0.05006740989711997,0.7022480133113537,0.013929486506507329,0.0,0.0,0.0,-0.05531812838821327
phen_sig_tp_noFP_Dis_hypertension,0.0,0.0,0.0,0.4672880113635326,0.0,0.0,0.0,0.0,-0.9410636970693356,-0.2878505663454632,-0.33225421118172366,0.6170419356236325,0.0,0.0,0.0,0.0,0.2036328717694587,0.0,0.33559794158212786,0.0,0.010345518630136094,0.0,0.0,-0.14247542077068334,0.0,0.0,0.0,0.25550797246969137,0.0,0.0,0.0,0.0,0.7465218892614052,1.405183547293806,0.0,0.0010604722891316394,0.0,0.0,1.3714577986567202,0.47128433653116314,0.0,0.0,0.0,-0.06076625524937001,0.0,0.0,0.0,-0.18359642456744288,0.0,0.0,0.0,0.0,0.0,0.0,-0.07506863762565975,0.4859814329024883,0.0,0.0,0.0,0.0,0.0
phen_sig_tp_noFP_Sig_hypertension,0.6012206855477311,0.0,0.0,-1.1487287025287962,0.0,0.1854866077862346,-0.25490797295173107,0.0,0.25033161734204684,-0.8004980493576218,1.4425030663293172,0.0,0.0,0.5494214661874846,0.0,0.0,-0.39647651935136397,-0.638685082186058,-0.9833416401359526,0.0,0.7150648109204417,1.6136352085520262,0.0,0.19887790644629114,0.0,-0.7859009091581364,-0.9855850986349002,0.0,0.0,-0.7207488998237221,0.0,0.0,-0.15838796137738367,0.7209865119404032,0.0,-0.31038025841723477,0.0,0.0,0.0,-0.2352700119817025,0.2366022562145046,0.0,0.0,-0.36827459129445267,-0.24224373513864203,0.0,0.0,-1.6711390332790554,0.2874616033662702,0.0,0.0,0.0,0.0,-0.061902028278364184,0.3368634258803051,0.0,0.8680979625670742,0.0,0.0,0.538445751424206,-0.2732578321933979
pancreatitis,0.3359034752357872,0.0,0.0,-0.532587597296802,0.0,0.0,0.0,0.0,0.0,-0.02854282215158372,-0.23153340804776462,-0.6495458874328544,0.0,0.0,0.0,0.0,0.0,-0.5036347879259216,0.0,0.0,0.5585295228277241,0.0,-1.490285686359492,0.0,0.0,-1.1629606901645766,0.0,0.0,0.0,0.0,0.0,0.0,-0.545356513676295,0.10236509569138402,0.0,0.07828631365375911,0.0,1.7840481735895093,0.5928312909031039,-0.11414617739847048,0.0,0.0,0.0,2.690802526599266,0.0,0.0,0.0,-2.0224968123824727,-1.341338541044728,0.0,0.0,0.0,0.0,-0.07921883426884191,0.0,0.0,-0.18900101609952522,0.0,0.0,0.0,0.0
acute pancreatitis,0.06054219709269536,0.0,0.0,-0.1335393958109213,0.0,0.6301028462853612,0.0,0.0,0.478657483539796,0.0,0.0,1.1033297813830738,0.0,0.3166973580944844,0.0,0.0,-0.4645673960778481,0.0,0.0,0.0,0.08833446074533494,0.0,-1.4577866066610878,-1.4761529928898411,0.0,-0.13825799045336185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26176263702984864,0.0,0.0,0.0,0.0,1.0769206049440978,0.0,0.1670359557487456,-0.3120420565588537,0.0,0.11122502761143482,0.0,0.0,0.0,-0.5565891843648513,0.0,0.0,0.5699362205074942,0.0,-0.005115836091148552,-0.7580682234591432,0.0,0.0,-0.37631101467791467,0.0,0.0,0.029500046569979926,-0.3638234342023834
pancreatitis idiopathic,-0.2542813849239719,0.0,0.0,-0.8549345655447292,0.0,0.0,0.0,0.0,0.0,-0.08774333244501113,0.0,0.10782406684543389,0.0,0.0,0.0,0.0,-0.84024199697658,0.0,-0.724032662112186,0.0,0.0,0.0,-1.8242459122382966,0.0,0.0,-0.23028131185758938,0.0,0.0,0.0,0.0,0.0,0.0,-0.6103890161355772,0.0,0.0,0.0,0.0,1.42097764925275,0.16435539230495647,0.0,0.0,-0.42836979642645073,0.0,0.0,0.0,0.0,0.0,-1.451209834595866,-0.5112549618197727,0.0,0.0,0.0,0.0,-0.4371596653138217,0.41737996841340913,0.0,-0.14376241403650816,0.0,0.0,-0.06139187642962674,0.0
adenocarcinoma of pancreas,0.5708924093187039,0.00041082209588643055,0.0,0.0,0.0017466565315677194,-0.5668573476409897,0.0,0.0,0.0,0.0,-1.019221139239954,-0.04871158623201074,0.0,0.0,0.32796844188493285,0.0012865531912035569,0.0,0.0,-0.16245778948361161,0.0,0.0,0.0,-0.14509144015074676,0.0,2.0461699195958376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3135488407954225,0.10955720451140172,0.0,0.0,2.0004257495958804,0.0,0.0,0.027019078406662175,0.0,0.0,0.0,0.0,0.0,-0.49581835944276115,0.0003953768251806144,-0.2679534141825032,0.011498204291255403,0.0,-0.8575326600938631,-0.28821383352276264,0.0,0.0,0.5564801625231034,0.0,-1.0852151060857569,0.3190704543441176
phen_tp_pancreatitis,0.7218926113951294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8711164760441349,0.0,0.06936973991461359,0.0,0.0,0.0,0.0,0.0,0.0,0.10382919528884169,0.0,0.7128434070700993,0.0,0.0,0.0,0.0,-0.1987443086120184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004528728226492114,0.0,0.0,0.0,0.0,0.5984118267342573,0.28119968875654,0.3939047044041576,-0.059181224337744864,0.0,1.1487661395353725,0.0,0.0,0.0,0.0,-0.4561222927406595,0.0,0.0,0.0,0.0,0.0,-0.23232050887098066,1.8309321144747999,0.11529162916978401,0.0,0.0,0.0,0.0
phen_sig_tp_noFP_Dis_pancreatitis,0.45721137028255737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05656310033926564,0.0,0.0,0.0,0.0,0.52310512307023,0.0,0.0,0.0,0.30383358437912344,0.0,0.0,0.0,0.0,0.0,0.0,0.4444217056316282,0.0,0.0,0.0,0.0,0.0,0.9215144714089039,0.0,0.0,0.0,0.0,1.6644502446434901,0.5866218787096086,0.0,0.0,0.0,1.765884761218523,0.0,0.0,0.0,0.0,-1.1123059361564698,0.0,0.0,0.0,0.0,0.0,-0.28515956776499,1.1902122629406022,0.0,0.0,0.0,0.0,0.0
