Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,STITCH Total Targets,TTD Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,STITCH Identified Targets,TTD Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,STITCH Percentage,TTD Percentage
estazolam,old myocardial infarction,15,1,6.67,1.0,16.0,,1.0,1.0,0.0,,0.0,100.0,0.0,,0.0
estazolam,acute myocardial infarction,6,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
estazolam,phen_sig_tp_noFP_Sig_myocardial infarction,17,0,0.0,1.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,hypertension,8,1,12.5,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,prehypertension,17,1,5.88,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,hypertensive disease,15,1,6.67,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,genetic hypertension,8,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,pulmonary hypertension,22,1,4.55,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,essential hypertension,7,1,14.29,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,"hypertension, renovascular",14,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,idiopathic pulmonary hypertension,11,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,renal hypertension,3,1,33.33,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,ocular hypertension,19,2,10.53,4.0,16.0,,1.0,2.0,0.0,,0.0,50.0,0.0,,0.0
triazolam,"hypertension, portal",0,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,phen_tp_hypertension,6,1,16.67,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,phen_sig_tp_noFP_Dis_hypertension,5,1,20.0,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,phen_sig_tp_noFP_Sig_hypertension,19,1,5.26,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,pancreatitis,10,1,10.0,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,acute pancreatitis,17,2,11.76,4.0,16.0,,1.0,2.0,0.0,,0.0,50.0,0.0,,0.0
triazolam,pancreatitis idiopathic,10,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,adenocarcinoma of pancreas,3,1,33.33,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,phen_tp_pancreatitis,4,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,phen_sig_tp_noFP_Sig_pancreatitis,17,1,5.88,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,thrombocytopenia 5,8,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,thrombocytopenia 6,17,1,5.88,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,macrothrombocytopenia,5,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,idiopathic thrombocytopenia,15,2,13.33,4.0,16.0,,1.0,2.0,0.0,,0.0,50.0,0.0,,0.0
triazolam,thrombocytopenia due to platelet alloimmunization,15,1,6.67,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,phen_tp_thrombocytopenia,12,0,0.0,4.0,16.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
triazolam,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,myocardial infarction,5,1,20.0,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,old myocardial infarction,15,2,13.33,4.0,16.0,,1.0,2.0,0.0,,0.0,50.0,0.0,,0.0
triazolam,acute myocardial infarction,6,1,16.67,4.0,16.0,,1.0,1.0,0.0,,0.0,25.0,0.0,,0.0
triazolam,phen_sig_tp_noFP_Sig_myocardial infarction,17,2,11.76,4.0,16.0,,1.0,2.0,0.0,,0.0,50.0,0.0,,0.0
oxaliplatin,hypertension,8,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,prehypertension,17,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,hypertensive disease,15,1,6.67,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,genetic hypertension,8,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,pulmonary hypertension,22,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,essential hypertension,7,1,14.29,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,"hypertension, renovascular",14,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,idiopathic pulmonary hypertension,11,1,9.09,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,renal hypertension,3,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,ocular hypertension,19,2,10.53,10.0,,1.0,,2.0,,0.0,,20.0,,0.0,
oxaliplatin,"hypertension, portal",0,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,phen_tp_hypertension,6,2,33.33,10.0,,1.0,,2.0,,0.0,,20.0,,0.0,
oxaliplatin,phen_sig_tp_noFP_Dis_hypertension,5,2,40.0,10.0,,1.0,,2.0,,0.0,,20.0,,0.0,
oxaliplatin,phen_sig_tp_noFP_Sig_hypertension,19,1,5.26,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,pancreatitis,10,1,10.0,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,acute pancreatitis,17,1,5.88,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,pancreatitis idiopathic,10,1,10.0,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,adenocarcinoma of pancreas,3,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,phen_tp_pancreatitis,4,1,25.0,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,phen_sig_tp_noFP_Sig_pancreatitis,17,2,11.76,10.0,,1.0,,2.0,,0.0,,20.0,,0.0,
oxaliplatin,thrombocytopenia 5,8,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,thrombocytopenia 6,17,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,macrothrombocytopenia,5,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,idiopathic thrombocytopenia,15,1,6.67,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,thrombocytopenia due to platelet alloimmunization,15,0,0.0,10.0,,1.0,,0.0,,0.0,,0.0,,0.0,
oxaliplatin,phen_tp_thrombocytopenia,12,1,8.33,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,myocardial infarction,5,1,20.0,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,old myocardial infarction,15,1,6.67,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,acute myocardial infarction,6,1,16.67,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
oxaliplatin,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,10.0,,1.0,,1.0,,0.0,,10.0,,0.0,
bismuth subsalicylate,hypertension,8,0,0.0,2.0,2.0,,,0.0,0.0,,,0.0,0.0,,
bismuth subsalicylate,prehypertension,17,2,11.76,2.0,2.0,,,1.0,1.0,,,50.0,50.0,,
bismuth subsalicylate,hypertensive disease,15,1,6.67,2.0,2.0,,,1.0,0.0,,,50.0,0.0,,
