Drug,Phenotype,Ranked Targets,Common Targets,Overall Percentage,New_DrugBank Total Targets,ChEMBL Total Targets,STITCH Total Targets,TTD Total Targets,New_DrugBank Identified Targets,ChEMBL Identified Targets,STITCH Identified Targets,TTD Identified Targets,New_DrugBank Percentage,ChEMBL Percentage,STITCH Percentage,TTD Percentage
eletriptan,phen_tp_pancreatitis,4,2,50.0,11.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0
eletriptan,phen_sig_tp_noFP_Dis_pancreatitis,4,2,50.0,11.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0
eletriptan,phen_sig_tp_noFP_Sig_pancreatitis,17,2,11.76,11.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0
eletriptan,thrombocytopenia 5,8,3,37.5,11.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0
eletriptan,thrombocytopenia 6,17,2,11.76,11.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0
eletriptan,macrothrombocytopenia,5,3,60.0,11.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0
eletriptan,idiopathic thrombocytopenia,15,3,20.0,11.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0
eletriptan,thrombocytopenia due to platelet alloimmunization,15,2,13.33,11.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0
eletriptan,phen_tp_thrombocytopenia,12,4,33.33,11.0,3.0,1.0,2.0,4.0,0.0,0.0,0.0,36.36,0.0,0.0,0.0
eletriptan,phen_sig_tp_noFP_Sig_thrombocytopenia,14,3,21.43,11.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0
eletriptan,myocardial infarction,5,1,20.0,11.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0
eletriptan,old myocardial infarction,15,5,33.33,11.0,3.0,1.0,2.0,5.0,0.0,0.0,0.0,45.45,0.0,0.0,0.0
eletriptan,acute myocardial infarction,6,2,33.33,11.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,18.18,0.0,0.0,0.0
eletriptan,phen_sig_tp_noFP_Sig_myocardial infarction,17,3,17.65,11.0,3.0,1.0,2.0,3.0,0.0,0.0,0.0,27.27,0.0,0.0,0.0
eflornithine,hypertension,8,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,prehypertension,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,hypertensive disease,15,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,genetic hypertension,8,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,pulmonary hypertension,22,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,essential hypertension,7,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,"hypertension, renovascular",14,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,idiopathic pulmonary hypertension,11,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,renal hypertension,3,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,ocular hypertension,19,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,"hypertension, portal",0,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_tp_hypertension,6,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_sig_tp_noFP_Dis_hypertension,5,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_sig_tp_noFP_Sig_hypertension,19,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,pancreatitis,10,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,acute pancreatitis,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,pancreatitis idiopathic,10,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,adenocarcinoma of pancreas,3,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_tp_pancreatitis,4,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_sig_tp_noFP_Dis_pancreatitis,4,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_sig_tp_noFP_Sig_pancreatitis,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,thrombocytopenia 5,8,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,thrombocytopenia 6,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,macrothrombocytopenia,5,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,idiopathic thrombocytopenia,15,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,thrombocytopenia due to platelet alloimmunization,15,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_tp_thrombocytopenia,12,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_sig_tp_noFP_Sig_thrombocytopenia,14,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,myocardial infarction,5,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,old myocardial infarction,15,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,acute myocardial infarction,6,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
eflornithine,phen_sig_tp_noFP_Sig_myocardial infarction,17,0,0.0,1.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
tolvaptan,hypertension,8,1,12.5,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,prehypertension,17,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,hypertensive disease,15,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,genetic hypertension,8,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,pulmonary hypertension,22,1,4.55,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,essential hypertension,7,1,14.29,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,"hypertension, renovascular",14,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,idiopathic pulmonary hypertension,11,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,renal hypertension,3,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,ocular hypertension,19,2,10.53,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
tolvaptan,"hypertension, portal",0,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,phen_tp_hypertension,6,1,16.67,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,phen_sig_tp_noFP_Dis_hypertension,5,1,20.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,phen_sig_tp_noFP_Sig_hypertension,19,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,pancreatitis,10,1,10.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,acute pancreatitis,17,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,pancreatitis idiopathic,10,1,10.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,adenocarcinoma of pancreas,3,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,phen_tp_pancreatitis,4,1,25.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,phen_sig_tp_noFP_Sig_pancreatitis,17,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,thrombocytopenia 5,8,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,thrombocytopenia 6,17,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,macrothrombocytopenia,5,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,idiopathic thrombocytopenia,15,2,13.33,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
tolvaptan,thrombocytopenia due to platelet alloimmunization,15,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,phen_tp_thrombocytopenia,12,1,8.33,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
tolvaptan,myocardial infarction,5,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,old myocardial infarction,15,2,13.33,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
tolvaptan,acute myocardial infarction,6,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tolvaptan,phen_sig_tp_noFP_Sig_myocardial infarction,17,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
osimertinib,hypertension,8,1,12.5,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,prehypertension,17,2,11.76,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,hypertensive disease,15,1,6.67,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,genetic hypertension,8,0,0.0,5.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
osimertinib,pulmonary hypertension,22,2,9.09,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,essential hypertension,7,2,28.57,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,"hypertension, renovascular",14,1,7.14,5.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
osimertinib,idiopathic pulmonary hypertension,11,2,18.18,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,renal hypertension,3,1,33.33,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,ocular hypertension,19,4,21.05,5.0,1.0,,1.0,3.0,0.0,,0.0,60.0,0.0,,0.0
osimertinib,"hypertension, portal",0,0,0.0,5.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
osimertinib,phen_tp_hypertension,6,2,33.33,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,phen_sig_tp_noFP_Dis_hypertension,5,2,40.0,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,phen_sig_tp_noFP_Sig_hypertension,19,2,10.53,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,pancreatitis,10,1,10.0,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,acute pancreatitis,17,1,5.88,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,pancreatitis idiopathic,10,2,20.0,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,adenocarcinoma of pancreas,3,1,33.33,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,phen_tp_pancreatitis,4,2,50.0,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,phen_sig_tp_noFP_Dis_pancreatitis,4,2,50.0,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,phen_sig_tp_noFP_Sig_pancreatitis,17,1,5.88,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,thrombocytopenia 5,8,2,25.0,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,thrombocytopenia 6,17,2,11.76,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,macrothrombocytopenia,5,0,0.0,5.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
osimertinib,idiopathic thrombocytopenia,15,2,13.33,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,thrombocytopenia due to platelet alloimmunization,15,1,6.67,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,phen_tp_thrombocytopenia,12,2,16.67,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,phen_sig_tp_noFP_Sig_thrombocytopenia,14,3,21.43,5.0,1.0,,1.0,2.0,0.0,,0.0,40.0,0.0,,0.0
osimertinib,myocardial infarction,5,1,20.0,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
osimertinib,old myocardial infarction,15,4,26.67,5.0,1.0,,1.0,3.0,0.0,,0.0,60.0,0.0,,0.0
osimertinib,acute myocardial infarction,6,0,0.0,5.0,1.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0
osimertinib,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,5.0,1.0,,1.0,1.0,0.0,,0.0,20.0,0.0,,0.0
hydroxyzine,hypertension,8,1,12.5,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
hydroxyzine,prehypertension,17,3,17.65,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,hypertensive disease,15,4,26.67,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,genetic hypertension,8,2,25.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
hydroxyzine,pulmonary hypertension,22,6,27.27,7.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,42.86,100.0,100.0,0.0
hydroxyzine,essential hypertension,7,3,42.86,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,"hypertension, renovascular",14,2,14.29,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,idiopathic pulmonary hypertension,11,2,18.18,7.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,28.57,100.0,100.0,0.0
hydroxyzine,renal hypertension,3,1,33.33,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroxyzine,ocular hypertension,19,4,21.05,7.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,57.14,0.0,0.0,0.0
hydroxyzine,"hypertension, portal",0,0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroxyzine,phen_tp_hypertension,6,3,50.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,phen_sig_tp_noFP_Dis_hypertension,5,2,40.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
hydroxyzine,phen_sig_tp_noFP_Sig_hypertension,19,5,26.32,7.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,42.86,100.0,100.0,0.0
hydroxyzine,pancreatitis,10,2,20.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,acute pancreatitis,17,4,23.53,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,pancreatitis idiopathic,10,3,30.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,adenocarcinoma of pancreas,3,1,33.33,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroxyzine,phen_tp_pancreatitis,4,2,50.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
hydroxyzine,phen_sig_tp_noFP_Dis_pancreatitis,4,2,50.0,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
hydroxyzine,phen_sig_tp_noFP_Sig_pancreatitis,17,2,11.76,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,thrombocytopenia 5,8,5,62.5,7.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0
hydroxyzine,thrombocytopenia 6,17,5,29.41,7.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,42.86,100.0,100.0,0.0
hydroxyzine,macrothrombocytopenia,5,2,40.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroxyzine,idiopathic thrombocytopenia,15,4,26.67,7.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,42.86,0.0,0.0,0.0
hydroxyzine,thrombocytopenia due to platelet alloimmunization,15,2,13.33,7.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,14.29,100.0,100.0,0.0
hydroxyzine,phen_tp_thrombocytopenia,12,3,25.0,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,phen_sig_tp_noFP_Sig_thrombocytopenia,14,3,21.43,7.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,28.57,0.0,0.0,0.0
hydroxyzine,myocardial infarction,5,1,20.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroxyzine,old myocardial infarction,15,5,33.33,7.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,71.43,0.0,0.0,0.0
hydroxyzine,acute myocardial infarction,6,2,33.33,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroxyzine,phen_sig_tp_noFP_Sig_myocardial infarction,17,4,23.53,7.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,42.86,0.0,0.0,0.0
palonosetron,hypertension,8,1,12.5,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,prehypertension,17,2,11.76,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
palonosetron,hypertensive disease,15,2,13.33,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
palonosetron,genetic hypertension,8,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palonosetron,pulmonary hypertension,22,1,4.55,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,essential hypertension,7,1,14.29,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,"hypertension, renovascular",14,1,7.14,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,idiopathic pulmonary hypertension,11,1,9.09,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,renal hypertension,3,1,33.33,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,ocular hypertension,19,2,10.53,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
palonosetron,"hypertension, portal",0,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palonosetron,phen_tp_hypertension,6,2,33.33,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
palonosetron,phen_sig_tp_noFP_Dis_hypertension,5,1,20.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,phen_sig_tp_noFP_Sig_hypertension,19,2,10.53,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
palonosetron,pancreatitis,10,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palonosetron,acute pancreatitis,17,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palonosetron,pancreatitis idiopathic,10,1,10.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,adenocarcinoma of pancreas,3,1,33.33,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,phen_tp_pancreatitis,4,1,25.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,phen_sig_tp_noFP_Dis_pancreatitis,4,1,25.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,phen_sig_tp_noFP_Sig_pancreatitis,17,1,5.88,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,thrombocytopenia 5,8,1,12.5,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,thrombocytopenia 6,17,2,11.76,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
palonosetron,macrothrombocytopenia,5,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palonosetron,idiopathic thrombocytopenia,15,1,6.67,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,thrombocytopenia due to platelet alloimmunization,15,1,6.67,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,phen_tp_thrombocytopenia,12,1,8.33,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,phen_sig_tp_noFP_Sig_thrombocytopenia,14,1,7.14,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
palonosetron,myocardial infarction,5,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palonosetron,old myocardial infarction,15,2,13.33,4.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
palonosetron,acute myocardial infarction,6,0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
palonosetron,phen_sig_tp_noFP_Sig_myocardial infarction,17,1,5.88,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0
nefazodone,hypertension,8,6,75.0,16.0,4.0,4.0,1.0,6.0,4.0,3.0,1.0,37.5,100.0,75.0,100.0
nefazodone,prehypertension,17,5,29.41,16.0,4.0,4.0,1.0,5.0,0.0,1.0,0.0,31.25,0.0,25.0,0.0
nefazodone,hypertensive disease,15,4,26.67,16.0,4.0,4.0,1.0,4.0,0.0,1.0,0.0,25.0,0.0,25.0,0.0
nefazodone,genetic hypertension,8,2,25.0,16.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,12.5,0.0,25.0,0.0
nefazodone,pulmonary hypertension,22,8,36.36,16.0,4.0,4.0,1.0,8.0,3.0,3.0,1.0,50.0,75.0,75.0,100.0
nefazodone,essential hypertension,7,1,14.29,16.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0
nefazodone,"hypertension, renovascular",14,5,35.71,16.0,4.0,4.0,1.0,5.0,1.0,1.0,0.0,31.25,25.0,25.0,0.0
nefazodone,idiopathic pulmonary hypertension,11,3,27.27,16.0,4.0,4.0,1.0,3.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0
nefazodone,renal hypertension,3,0,0.0,16.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nefazodone,ocular hypertension,19,4,21.05,16.0,4.0,4.0,1.0,4.0,0.0,1.0,0.0,25.0,0.0,25.0,0.0
nefazodone,"hypertension, portal",0,0,0.0,16.0,4.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nefazodone,phen_tp_hypertension,6,2,33.33,16.0,4.0,4.0,1.0,2.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0
nefazodone,phen_sig_tp_noFP_Dis_hypertension,5,1,20.0,16.0,4.0,4.0,1.0,1.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0
nefazodone,phen_sig_tp_noFP_Sig_hypertension,19,5,26.32,16.0,4.0,4.0,1.0,5.0,2.0,3.0,0.0,31.25,50.0,75.0,0.0
nefazodone,pancreatitis,10,2,20.0,16.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,12.5,0.0,25.0,0.0
nefazodone,acute pancreatitis,17,2,11.76,16.0,4.0,4.0,1.0,2.0,1.0,1.0,0.0,12.5,25.0,25.0,0.0
nefazodone,pancreatitis idiopathic,10,2,20.0,16.0,4.0,4.0,1.0,2.0,0.0,1.0,0.0,12.5,0.0,25.0,0.0
